data name	program name	data	stdout	stderr	exit code	timeout
_sandbox	javascript-js-yaml	"a: &x Zm9v
b: &y !!binary *x
"		"
/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:187
  throw generateError(state, message);
  ^
YAMLException: alias node should not have any properties (3:1)

 1 | a: &x Zm9v
 2 | b: &y !!binary *x
 3 | 
-----^
    at generateError (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:183:10)
    at throwError (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:187:9)
    at composeNode (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:1454:13)
    at readBlockMapping (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:1164:11)
    at composeNode (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:1441:12)
    at readDocument (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:1625:3)
    at loadDocuments (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:1688:5)
    at Object.load (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/node_modules/js-yaml/lib/loader.js:1714:19)
    at Object.<anonymous> (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-js-yaml/main.js:7:16)
    at Module._compile (node:internal/modules/cjs/loader:1376:14) {
  reason: 'alias node should not have any properties',
  mark: {
    name: null,
    buffer: 'a: &x Zm9v\nb: &y !!binary *x\n',
    position: 29,
    line: 2,
    column: 0,
    snippet: ' 1 | a: &x Zm9v\n 2 | b: &y !!binary *x\n 3 | \n-----^'
  }
}

Node.js v21.3.0
"	1	false
_sandbox	javascript-yaml	"a: &x Zm9v
b: &y !!binary *x
"		"/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/public-api.js:73
            throw doc.errors[0];
            ^

YAMLParseError: An alias node must not specify any properties at line 2, column 16:

b: &y !!binary *x
               ^^

    at Composer.onError (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/composer.js:69:34)
    at composeNode (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/compose-node.js:18:17)
    at Object.resolveBlockMap (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/resolve-block-map.js:81:19)
    at resolveCollection (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/compose-collection.js:13:27)
    at Object.composeCollection (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/compose-collection.js:47:16)
    at Object.composeNode (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/compose-node.js:31:38)
    at Object.composeDoc (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/compose-doc.js:33:23)
    at Composer.next (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/composer.js:149:40)
    at next (<anonymous>)
    at Composer.compose (/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/javascript-yaml/node_modules/yaml/dist/compose/composer.js:131:25) {
  code: 'ALIAS_PROPS',
  pos: [ 26, 28 ],
  linePos: [ { line: 2, col: 16 }, { line: 2, col: 18 } ]
}

Node.js v21.3.0
"	1	false
_sandbox	python-load	"a: &x Zm9v
b: &y !!binary *x
"		"Traceback (most recent call last):
  File ""/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/python-load/main.py"", line 7, in <module>
    obj = yaml.load(content, Loader=Loader)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/__init__.py"", line 81, in load
    return loader.get_single_data()
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/constructor.py"", line 49, in get_single_data
    node = self.get_single_node()
           ^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 36, in get_single_node
    document = self.compose_document()
               ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 55, in compose_document
    node = self.compose_node(None, None)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 84, in compose_node
    node = self.compose_mapping_node(anchor)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 127, in compose_mapping_node
    while not self.check_event(MappingEndEvent):
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/parser.py"", line 98, in check_event
    self.current_event = self.state()
                         ^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/parser.py"", line 438, in parse_block_mapping_key
    raise ParserError(""while parsing a block mapping"", self.marks[-1],
yaml.parser.ParserError: while parsing a block mapping
  in ""../../testdata/_sandbox"", line 1, column 1
expected <block end>, but found '<alias>'
  in ""../../testdata/_sandbox"", line 2, column 16
"	1	false
_sandbox	python-safe-load	"a: &x Zm9v
b: &y !!binary *x
"		"Traceback (most recent call last):
  File ""/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/python-safe-load/main.py"", line 6, in <module>
    obj = yaml.safe_load(content)
          ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/__init__.py"", line 125, in safe_load
    return load(stream, SafeLoader)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/__init__.py"", line 81, in load
    return loader.get_single_data()
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/constructor.py"", line 49, in get_single_data
    node = self.get_single_node()
           ^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 36, in get_single_node
    document = self.compose_document()
               ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 55, in compose_document
    node = self.compose_node(None, None)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 84, in compose_node
    node = self.compose_mapping_node(anchor)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/composer.py"", line 127, in compose_mapping_node
    while not self.check_event(MappingEndEvent):
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/parser.py"", line 98, in check_event
    self.current_event = self.state()
                         ^^^^^^^^^^^^
  File ""/Users/lambdasawa/.local/share/mise/installs/python/3.12.0/lib/python3.12/site-packages/yaml/parser.py"", line 438, in parse_block_mapping_key
    raise ParserError(""while parsing a block mapping"", self.marks[-1],
yaml.parser.ParserError: while parsing a block mapping
  in ""../../testdata/_sandbox"", line 1, column 1
expected <block end>, but found '<alias>'
  in ""../../testdata/_sandbox"", line 2, column 16
"	1	false
_sandbox	ruby-safe-load	"a: &x Zm9v
b: &y !!binary *x
"		"/Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/parser.rb:62:in `_native_parse': (<unknown>): did not find expected key while parsing a block mapping at line 1 column 1 (Psych::SyntaxError)
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/parser.rb:62:in `parse'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:455:in `parse_stream'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:399:in `parse'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:323:in `safe_load'
	from main.rb:5:in `<main>'
"	1	false
_sandbox	ruby-safe-load-alias	"a: &x Zm9v
b: &y !!binary *x
"		"/Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/parser.rb:62:in `_native_parse': (<unknown>): did not find expected key while parsing a block mapping at line 1 column 1 (Psych::SyntaxError)
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/parser.rb:62:in `parse'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:455:in `parse_stream'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:399:in `parse'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:323:in `safe_load'
	from main.rb:5:in `<main>'
"	1	false
_sandbox	ruby-safe-load-symbol	"a: &x Zm9v
b: &y !!binary *x
"		"/Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/parser.rb:62:in `_native_parse': (<unknown>): did not find expected key while parsing a block mapping at line 1 column 1 (Psych::SyntaxError)
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/parser.rb:62:in `parse'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:455:in `parse_stream'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:399:in `parse'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:323:in `safe_load'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:369:in `load'
	from main.rb:5:in `<main>'
"	1	false
_sandbox	rust-serde-yaml	"a: &x Zm9v
b: &y !!binary *x
"		"Error: Scan(ScanError { mark: Marker { index: 26, line: 2, col: 15 }, info: ""while parsing a block mapping, did not find expected key"" })
"	1	false
anchor-alias	cpp-yamlcpp	"a: &x 1
b: *x
"	"a: &1 1
b: *1
"		0	false
anchor-alias	csharp-yaml-dot-net	"a: &x 1
b: *x
"	"a: 1
b: 1

"		0	false
anchor-alias	go-gopkg.in-yaml.v2	"a: &x 1
b: *x
"	"map[a:1 b:1]
"		0	false
anchor-alias	go-gopkg.in-yaml.v3	"a: &x 1
b: *x
"	"map[a:1 b:1]
"		0	false
anchor-alias	go-sigs.k8s.io-yaml	"a: &x 1
b: *x
"	"map[a:1 b:1]
"		0	false
anchor-alias	java-jackson	"a: &x 1
b: *x
"	"{a=1, b=x}
"		0	false
anchor-alias	java-snake-yaml	"a: &x 1
b: *x
"	"{a=1, b=1}
"		0	false
anchor-alias	javascript-js-yaml	"a: &x 1
b: *x
"	"{ a: 1, b: 1 }
"		0	false
anchor-alias	javascript-yaml	"a: &x 1
b: *x
"	"{ a: 1, b: 1 }
"		0	false
anchor-alias	python-load	"a: &x 1
b: *x
"	"{'a': 1, 'b': 1}
"		0	false
anchor-alias	python-safe-load	"a: &x 1
b: *x
"	"{'a': 1, 'b': 1}
"		0	false
anchor-alias	ruby-safe-load	"a: &x 1
b: *x
"		"/Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:432:in `visit_Psych_Nodes_Alias': Alias parsing was not enabled. To enable it, pass `aliases: true` to `Psych::load` or `Psych::safe_load`. (Psych::AliasesNotEnabled)
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:30:in `visit'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:6:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:35:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:347:in `block in revive_hash'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:345:in `each'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:345:in `each_slice'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:345:in `revive_hash'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:169:in `visit_Psych_Nodes_Mapping'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:30:in `visit'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:6:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:35:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:320:in `visit_Psych_Nodes_Document'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:30:in `visit'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:6:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:35:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:334:in `safe_load'
	from main.rb:5:in `<main>'
"	1	false
anchor-alias	ruby-safe-load-alias	"a: &x 1
b: *x
"	"{""a""=>1, ""b""=>1}
"		0	false
anchor-alias	ruby-safe-load-symbol	"a: &x 1
b: *x
"		"/Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:432:in `visit_Psych_Nodes_Alias': Alias parsing was not enabled. To enable it, pass `aliases: true` to `Psych::load` or `Psych::safe_load`. (Psych::AliasesNotEnabled)
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:30:in `visit'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:6:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:35:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:347:in `block in revive_hash'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:345:in `each'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:345:in `each_slice'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:345:in `revive_hash'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:169:in `visit_Psych_Nodes_Mapping'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:30:in `visit'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:6:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:35:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:320:in `visit_Psych_Nodes_Document'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:30:in `visit'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/visitor.rb:6:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych/visitors/to_ruby.rb:35:in `accept'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:334:in `safe_load'
	from /Users/lambdasawa/.local/share/mise/installs/ruby/3.2.2/lib/ruby/gems/3.2.0/gems/psych-5.1.1.1/lib/psych.rb:369:in `load'
	from main.rb:5:in `<main>'
"	1	false
anchor-alias	rust-serde-yaml	"a: &x 1
b: *x
"	"Mapping(
    Mapping {
        map: {
            String(
                ""a"",
            ): Number(
                PosInt(
                    1,
                ),
            ),
            String(
                ""b"",
            ): Number(
                PosInt(
                    1,
                ),
            ),
        },
    },
)
"		0	false
anchor-alias-recursive-sequence	cpp-yamlcpp	"a: &x [1, 2, *x, 3]
"	"a: &1 [1, 2, *1, 3]
"		0	false
anchor-alias-recursive-sequence	csharp-yaml-dot-net	"a: &x [1, 2, *x, 3]
"	"a: &o0
- 1
- 2
- *o0
- 3

"		0	false
